72,592,158,591,158,600,72,600	accuracy
410,309,464,308,465,329,411,331	(with
468,329,468,307,502,308,501,330	the
156,307,201,303,203,328,158,332	There
141,300,141,284,162,284,162,300	as
97,301,97,283,135,283,135,301	one
434,297,434,283,515,283,515,297	measure
19,285,91,284,91,297,19,298	assume
559,299,559,281,599,281,598,300	atta
269,299,269,279,321,281,320,300	other
521,300,521,278,554,278,554,300	the
388,300,388,277,428,277,428,300	and
185,277,227,276,228,300,186,301	fand
230,277,264,276,265,300,231,301	the
233,271,234,247,307,251,306,275	setting.
144,271,144,251,227,251,227,271	-agnostic
501,270,501,249,576,250,575,270	models,
419,273,420,248,465,250,464,275	pair
19,268,20,248,144,250,144,270	architecture-a
368,270,368,249,416,249,416,270	each
319,247,363,246,363,271,320,272	For
470,269,472,247,496,248,495,270	off
24,232,24,229,27,229,27,232	I
185,242,186,218,272,221,271,245	stealing.
415,240,416,220,503,220,503,241	consider
337,238,337,219,407,221,406,240	further
50,238,51,221,173,224,172,241	functionality
554,219,599,219,599,238,555,239	victi
19,223,37,222,38,238,20,239	to
509,240,509,219,545,219,545,240	the
291,241,291,217,330,217,330,241	We
147,211,147,190,200,190,200,211	most
492,191,596,188,596,206,493,209	vulnerabili
411,209,411,190,482,190,482,209	similar
268,192,339,190,340,208,269,209	models
347,190,404,188,405,209,347,211	share
18,211,18,188,92,188,92,211	implies
100,209,100,189,140,189,140,209	that
206,187,258,186,259,210,207,211	NAS
80,180,80,161,165,162,165,181	variance,
489,179,489,159,563,160,563,180	models.
201,160,316,159,317,182,201,183	comparison
16,181,16,160,76,160,76,181	lower
410,178,410,160,483,160,483,178	manual
175,163,194,162,195,178,176,179	in
371,159,404,158,405,179,371,180	the
323,158,368,157,369,179,324,181	with
562,149,563,134,600,134,600,150	much
434,130,505,130,505,151,434,151	models
309,151,309,131,336,131,336,151	on
85,130,168,129,168,148,85,149	achieves
18,130,78,129,78,150,18,151	attack
513,129,556,128,557,150,513,151	with
340,130,373,129,373,151,340,151	the
173,150,174,128,251,129,251,151	smaller
377,150,377,128,428,128,428,150	NAS
255,150,256,126,306,129,304,152	ACE
250,123,251,97,326,100,325,126	setting.
63,115,63,101,245,103,244,118	architecture-aware
493,119,493,100,574,102,574,120	datasets,
17,120,17,99,53,99,53,120	tim
339,99,412,98,412,120,339,120	Across
452,98,487,97,488,121,453,122	the
419,121,419,97,447,97,447,121	all
130,73,247,72,247,89,130,90	summarizes
355,89,355,72,479,72,479,89	effectiveness
289,71,347,70,348,89,290,90	attack
40,69,110,68,110,94,41,95	Figure
485,90,485,69,544,69,544,90	sunder
547,90,547,68,579,68,579,90	the
251,90,251,68,285,68,285,90	the
505,53,505,31,573,33,572,54	setting.
421,33,500,31,500,53,422,55	e-agnostic
315,48,316,30,430,33,430,51	architecture-a
17,32,84,31,85,48,17,49	manual
250,32,306,30,307,47,250,48	victim
160,48,160,30,212,31,212,49	under
215,31,245,30,246,49,216,49	the
90,31,154,30,154,48,90,49	models
239,18,239,10,248,10,248,18	of
381,24,381,3,453,5,453,26	stealing
460,26,460,4,526,4,526,26	against
109,18,109,6,221,8,221,19	Performance
259,22,260,3,373,5,373,24	functionality
532,4,578,2,578,21,533,23	NAS
16,24,16,2,68,2,68,24	Table
