458,600,458,588,514,589,514,600	space
504,240,505,217,548,220,547,243	qubit
88,221,155,219,155,238,89,240	outside
162,238,162,219,212,219,212,238	world
6,239,6,219,49,219,49,239	from
266,238,267,219,323,219,323,239	inside
53,219,84,219,84,238,53,239	the
469,238,469,218,501,218,501,238	the
328,238,328,217,365,219,364,239	and
467,207,468,191,504,192,503,208	can
7,205,8,190,106,191,106,207	connected
216,209,216,189,277,189,277,209	affects
283,206,284,187,380,190,379,209	everything
114,209,114,188,210,189,210,209	everything
509,206,509,188,548,188,548,207	disrup
429,188,465,187,466,208,430,209	this
387,188,426,187,427,207,388,208	and
308,163,400,161,401,175,308,176	processes
460,160,526,158,526,176,460,178	system
406,176,406,160,439,160,439,176	are
47,160,98,159,98,175,47,176	occur
256,176,256,158,301,158,301,176	such
534,172,536,161,546,163,543,174	in
161,177,161,157,216,158,215,178	world
5,176,6,156,44,157,44,177	that
220,176,220,156,253,156,253,176	,but
124,175,124,156,156,156,156,175	the
256,145,256,127,329,127,329,145	delicate
65,128,116,128,116,143,65,143	same
347,144,348,125,422,126,422,146	explains
210,147,210,126,252,127,252,148	very
491,144,491,125,549,125,549,144	utilizes
426,126,460,125,461,144,427,145	Gil:
120,125,162,124,162,144,121,144	time
166,145,166,124,206,124,206,145	also
28,144,28,124,60,124,60,144	the
7,143,7,125,26,125,26,143	at
459,146,460,123,489,124,488,147	Hilt
491,117,491,95,547,96,547,118	comp
408,99,486,97,487,113,408,115	quantum
166,96,258,95,258,113,166,114	expensive
264,96,346,95,346,113,264,113	business
8,97,116,95,116,111,8,112	complicated
122,113,122,92,161,93,161,114	and
354,91,403,91,403,115,355,115	""The
181,75,181,72,184,72,184,75	in
179,75,179,72,182,72,182,75	-
182,74,185,71,188,73,184,76	(
41,85,41,64,83,65,83,86	very
6,66,38,65,38,81,7,82	are
435,82,435,64,496,64,496,82	makes
88,84,88,64,169,64,169,84	sensitive
271,82,271,65,365,65,365,83	influences,
199,80,200,64,264,65,264,81	outside
374,65,428,63,429,81,375,83	which
177,79,178,65,191,66,190,80	to
500,63,546,62,546,80,500,81	buildi
389,35,465,34,465,51,389,52	complex
352,40,357,37,362,46,357,49	is
469,55,469,31,518,33,517,57	xstory
278,34,346,33,346,51,278,52	nature"
168,34,234,34,234,50,168,50	behave
7,35,85,33,85,51,8,53	machine
131,51,131,32,162,32,162,51	will
91,33,128,32,128,51,91,51	that
520,32,549,31,549,51,521,52	like
238,31,272,30,273,51,239,53	like
382,6,444,5,445,19,382,19	seems.
156,6,206,5,206,20,156,21	more
523,19,523,5,548,5,548,19	OU
212,6,312,4,312,20,212,22	pretentious
472,20,472,3,518,3,518,20	turns
52,19,52,2,130,3,130,20	ambition
318,20,318,2,359,2,359,20	than
7,2,47,1,47,19,7,20	This
