266,598,267,582,311,583,311,598	even
237,154,325,154,325,173,237,173	"quantum
21,172,21,154,77,154,77,172	called
493,170,494,154,597,156,597,172	simultaneous
98,175,98,152,145,152,145,175	qubit
149,153,204,152,204,173,150,174	(short
420,152,468,151,468,174,421,174	qubit
206,172,206,152,234,152,234,172	for
471,171,471,153,487,153,487,171	is
377,173,377,150,417,150,417,173	The
329,175,329,150,373,150,373,175	bit
486,142,486,125,512,125,512,142	on
330,124,425,123,426,142,330,143	computing
245,142,245,125,324,126,324,143	quantum
534,141,534,123,583,123,583,141	basic
20,123,74,122,75,141,20,142	there
432,122,482,121,482,141,432,141	relies
79,139,79,121,147,123,146,140	instead
175,142,175,121,206,121,206,142	the
152,141,152,122,172,122,172,141	loft
208,142,208,120,239,121,238,144	bit
350,107,351,98,361,99,359,108	IS
244,114,244,93,341,93,341,114	computing
159,95,240,94,240,111,160,112	quantum
21,110,21,94,151,94,151,110	understanding
403,95,502,94,502,109,403,110	recognition
509,110,509,91,547,91,547,110	that
551,110,551,91,583,91,583,110	this
366,110,366,90,398,90,398,110	the
94,62,176,62,177,79,94,80	concepts
286,79,286,61,332,62,332,80	zero.
541,61,597,60,597,77,542,78	binarie
405,61,457,59,458,77,405,78	about
205,61,242,59,243,78,206,80	fone
183,79,183,61,202,61,202,79	of
21,77,21,60,86,60,86,77	familiar
498,78,499,58,538,59,537,79	and
336,79,336,59,400,60,400,79	Forget
244,58,282,57,283,78,245,79	and
461,77,462,57,496,58,495,78	bits
553,49,554,27,598,29,597,51	stop
510,46,510,32,525,32,525,46	is
256,46,256,31,317,31,317,46	broken
534,43,536,32,548,34,546,45	to
464,50,464,28,507,28,507,50	tstepi
135,30,182,29,182,47,136,48	must
324,29,377,29,377,46,324,47	down
20,29,127,29,127,50,20,51	computing",
426,47,426,27,463,27,463,47	first
225,28,250,27,251,46,225,47	be
185,47,186,26,223,27,223,48	first
383,47,383,27,421,27,421,47	The
533,19,533,1,600,1,600,19	concept
400,16,401,0,490,1,489,18	computer,
256,16,256,4,273,4,273,16	of
49,16,49,2,151,3,151,18	understand
314,18,314,1,396,2,396,19	quantum
192,20,192,0,252,1,252,20	power
497,16,497,0,531,0,531,16	this
157,17,157,0,190,0,190,17	the
277,18,277,0,309,0,309,18	fthe
18,17,18,0,45,0,45,17	STOP
