442,381,442,370,484,371,484,382	attacks
115,235,115,222,129,222,129,235	to
511,237,511,221,538,221,538,237	The
306,221,321,221,321,236,306,236	In
130,236,130,221,151,221,151,236	the
69,222,81,222,82,235,70,235	is
502,218,503,206,537,206,537,218	users,
540,218,540,205,591,205,591,219	showing
87,218,87,205,130,205,130,218	motion
410,206,438,203,440,220,412,223	plesf
237,216,237,204,288,206,288,218	meaning
162,205,210,204,210,217,162,218	whether
23,205,44,203,45,220,24,221	ing
438,204,479,204,479,218,438,218	fooled
331,218,331,204,379,204,379,218	original
134,217,134,204,158,204,158,217	and
480,204,501,204,501,218,480,218	the
291,218,291,203,308,203,308,218	oft
64,217,64,203,85,203,85,217	fthe
308,218,308,202,330,202,330,218	fthe
46,219,46,202,63,202,63,219	oft
211,202,234,202,234,217,212,218	THE
480,201,480,187,517,189,517,202	users;
341,188,376,187,376,198,341,199	mean-
268,202,268,187,318,187,318,202	ychanges
522,187,556,186,556,199,522,200	while
412,199,412,187,452,187,452,199	fooled
90,187,114,186,114,199,90,200	ttest
218,200,219,185,266,186,266,201	visually
116,199,116,186,164,186,164,199	whether
455,186,476,186,476,200,455,200	the
167,198,167,186,216,186,216,198	BASAR
317,186,340,185,341,199,318,200	sther
560,186,600,185,600,200,560,201	84.69
64,186,89,185,89,199,64,200	first
40,200,41,184,65,185,65,200	WE
414,181,414,169,516,171,516,183	distinguishability
163,181,163,170,249,170,249,181	supplementary
254,180,255,168,309,169,309,181	materials
124,182,124,170,139,170,139,182	to
77,182,77,168,123,169,123,183	readers
548,181,548,168,595,168,595,182	94.63%
333,181,333,168,376,168,376,182	details.
522,182,522,168,545,168,545,182	but
139,169,161,167,162,181,140,183	these
24,182,24,168,54,168,54,182	refer
312,182,312,167,332,167,332,182	for
54,167,77,166,77,181,55,182	the
525,158,528,158,528,160,525,160	Electric)
281,166,281,151,323,151,323,166	setting
526,162,526,152,584,152,584,162	f-manifold.
218,165,218,151,241,151,241,165	our
489,165,489,151,505,151,505,165	vs
412,152,487,151,487,163,413,164	on-manifold
505,164,505,151,527,151,527,164	soff-1
125,163,126,148,167,150,166,165	briefly
243,165,243,149,278,149,278,165	study
169,150,216,148,216,165,169,166	explain
69,166,69,149,97,149,97,166	54).
42,163,43,149,68,150,67,165	and
356,163,356,148,381,149,380,164	and
325,149,354,148,354,163,325,164	here
100,149,124,147,126,163,102,165	Webster
24,164,24,148,41,148,41,164	20
100,142,100,140,103,140,103,142	-
537,147,538,133,593,133,593,147	(80.83%)
167,144,167,134,221,134,220,145	recruited
144,133,166,133,166,146,144,147	WCI
435,134,495,132,496,146,435,147	white-box
245,146,246,132,294,133,294,147	subjects
498,145,498,132,535,132,535,145	attack
411,134,432,132,433,146,412,148	the
329,144,329,132,380,132,380,144	between
297,132,326,130,327,148,297,150	(age
109,146,109,132,141,132,141,146	total
25,133,83,133,83,144,25,144	identified.
97,135,103,135,103,139,97,139	-
225,145,225,132,242,132,242,145	50
547,128,547,117,597,118,597,129	average.
525,117,544,117,544,128,525,128	on
450,129,450,117,471,117,471,129	are
411,130,412,114,446,115,446,131	bility
300,129,300,115,324,115,324,129	scan
220,116,300,115,300,127,221,128	perturbations
24,129,24,114,66,115,66,130	quality
180,115,219,114,219,128,180,129	where
490,114,522,113,522,128,490,129	9.90%
343,129,343,113,380,114,379,129	easily
85,126,85,114,134,115,134,127	HDMO5
473,128,475,113,494,114,492,129	89.9
150,130,150,113,179,113,179,130	shigh
67,128,67,113,84,113,84,128	yofk
137,128,137,113,150,113,150,128	is
324,113,342,112,343,128,325,129	been
176,101,181,98,184,105,179,108	a
488,109,489,97,533,98,533,110	motion.
438,97,485,97,485,110,439,110	original
187,110,187,97,231,97,231,110	motion
77,111,77,97,118,97,118,111	people
302,97,348,97,348,110,303,111	therein.
121,110,121,97,135,97,135,110	to
538,109,539,97,583,98,582,111	Finally
249,109,249,96,299,97,298,111	attacked
165,100,169,98,172,103,168,106	if
411,111,411,95,436,95,436,111	and
24,96,52,95,53,109,24,110	hard
353,111,353,94,381,94,381,111	The
137,96,158,95,158,110,137,110	tell
54,110,54,95,75,95,75,110	for
358,88,358,84,363,84,363,88	it
171,79,241,79,241,93,171,94	preliminary
476,91,476,80,533,81,533,93	similarity
412,93,412,79,450,79,450,93	forces
368,91,368,81,378,81,378,91	is
90,79,132,79,132,92,91,93	noises
24,80,85,79,85,92,25,92	noticeable
573,94,577,76,600,80,600,99	dyna
451,92,451,78,474,78,474,92	the
283,92,283,78,322,78,322,92	shows
246,92,246,78,280,79,279,93	study
139,92,139,78,168,79,168,93	Our
554,93,554,78,575,78,575,93	the
537,93,537,78,553,78,553,93	of
325,78,351,77,351,92,325,93	that
571,74,571,63,592,64,592,75	are
534,62,572,61,572,79,534,79	poses
482,63,512,62,512,75,483,75	sure
217,64,231,63,231,74,218,75	as
314,64,353,62,353,73,314,75	severe
265,63,310,63,310,74,266,74	contain
49,73,49,62,96,63,96,74	exclude
442,74,442,62,482,62,482,74	makes
411,77,411,60,440,60,440,77	only
234,75,234,61,262,61,261,76	they
163,61,213,60,213,74,163,75	Kinetics
357,73,357,60,380,61,380,74	and
512,60,533,60,533,74,512,75	the
135,73,135,60,159,60,158,74	and
98,60,131,59,132,72,99,74	ENTU
23,60,46,59,47,74,24,75	We
501,53,501,51,502,51,502,53	I
499,53,499,51,501,51,501,53	I
238,57,238,44,262,44,262,57	our
512,55,512,44,600,45,600,56	understandable
413,55,413,43,458,43,457,56	natural
266,45,329,44,329,57,266,59	perceptual
107,56,107,43,171,43,171,56	untargeted
176,56,176,43,211,43,211,56	attack
464,43,494,42,494,56,464,57	This
332,43,378,42,378,56,333,57	studies.
78,57,78,42,104,42,104,57	and
214,57,214,41,237,41,237,57	for
25,43,74,42,74,55,25,56	HDMO5
495,44,505,43,507,54,497,56	is
412,41,412,26,440,26,440,41	very
500,27,549,26,549,39,501,40	subjects
243,37,243,26,305,26,305,37	conditions.
185,27,220,26,220,38,185,39	cover
550,40,550,25,590,25,590,40	regard
337,37,337,26,379,26,379,37	choose
107,26,179,26,179,38,107,38	exhaustively
91,37,91,27,104,27,104,37	to
25,36,25,25,87,26,87,37	unrealistic
473,38,473,25,498,25,498,38	that
441,25,473,24,473,39,441,40	yclear
221,24,239,23,239,38,221,39	rall
311,39,312,23,336,24,335,40	We
525,9,563,8,563,21,525,22	shows
210,8,245,8,245,24,210,24	types
154,11,163,10,164,17,154,18	vs
250,20,250,9,263,9,263,20	vs
98,20,98,9,145,9,145,20	datasets
170,19,170,7,207,9,206,21	attack
27,8,74,7,74,19,27,20	(models
566,21,566,7,587,7,587,21	the
482,24,482,7,509,7,509,24	Fig.
411,22,411,7,439,7,439,22	tics.
444,22,445,6,479,7,479,23	Next,
316,23,316,6,348,6,348,23	MP),
269,20,269,7,313,7,313,20	MP/NO
488,2,494,1,495,3,489,5	>
221,1,239,0,240,5,222,6	the
458,4,458,0,473,0,473,4	the
