108,600,108,595,129,595,129,600	Is
257,278,257,258,324,259,323,278	floating
97,276,98,257,158,261,157,280	ceiling
217,267,224,260,228,264,222,271	to
555,257,598,257,599,277,556,278	This
61,276,61,257,92,257,92,276	the
13,258,57,256,58,276,14,278	from
393,230,451,229,451,245,393,246	rooms
179,247,179,228,275,228,275,247	spaceship:
81,246,81,229,130,229,130,246	room
502,227,587,227,587,244,502,245	countless
282,246,282,226,335,226,335,246	bright
13,228,77,225,78,247,13,249	engine
457,245,457,226,495,226,495,245	with
340,227,388,226,388,244,341,245	white
137,243,138,227,155,228,154,244	of
425,198,507,197,507,216,426,217	quantum
511,215,511,198,595,198,595,215	computing
109,213,110,194,179,197,178,217	images
307,213,307,196,387,196,387,213	released
265,197,301,196,301,214,266,215	Thas
182,215,182,196,220,196,220,215	that
70,214,70,196,106,197,106,215	few
223,213,224,194,264,196,263,214	IBM
37,196,68,195,68,214,37,215	the
396,196,418,195,419,214,397,215	its
279,157,280,137,373,138,373,158	Quantum
53,155,53,138,101,138,101,155	TAGS:
171,138,258,137,258,152,171,153	Interview
107,157,108,135,152,136,151,158	IBM
377,155,378,135,484,137,484,158	Computing
209,77,269,77,269,89,209,90	18.10.22
159,91,159,75,203,75,203,91	11:43,
13,93,13,73,73,73,73,93	Sophie
77,89,77,75,152,75,152,89	Shulman
165,54,165,48,178,48,178,54	IL
455,57,455,36,513,36,513,57	start
15,55,15,35,152,35,152,55	understand
517,57,518,32,585,35,584,61	tusingi
245,55,245,33,309,33,309,55	when
377,59,378,31,451,34,450,62	Ifinally
192,56,192,32,239,32,239,56	and
169,41,172,35,180,39,178,45	it
316,58,316,30,372,30,372,58	we'll
376,28,376,4,426,4,426,28	you
567,24,567,6,598,6,598,24	an
321,26,321,2,373,3,373,27	why
229,23,230,1,315,5,314,27	dream,
17,21,17,4,139,5,139,22	realization
498,4,523,3,524,23,499,24	to
430,24,430,2,489,2,489,24	need
179,25,179,1,225,1,225,25	this
528,1,560,0,561,24,529,26	be
146,24,148,0,176,0,175,26	for
