111,598,111,586,176,587,176,599	nature's
174,364,211,362,212,382,175,384	dhad
78,381,79,364,97,366,95,382	in
487,343,572,340,573,355,487,358	protection
364,361,364,339,441,339,441,361	England
266,357,266,340,340,342,339,359	coalition
580,341,600,341,600,358,580,358	NO.1
345,342,360,341,362,356,346,358	in
47,341,156,339,156,356,47,358	environment
443,340,483,338,484,359,444,361	,said
198,339,261,339,261,357,198,358	wildlife
159,357,159,339,196,339,196,357	and
357,329,357,315,461,316,461,331	Countryside
164,331,164,314,219,315,219,332	report
46,315,125,315,126,332,46,333	However,
568,332,568,314,600,314,600,332	,the
508,313,564,312,564,332,508,333	(WCL),
465,332,465,314,505,314,505,332	Link
221,334,222,313,246,314,245,335	by
130,332,130,314,161,314,161,332	,the
317,332,318,313,354,314,353,333	and
249,313,316,312,317,330,249,332	Wildlife
391,263,391,243,431,243,431,263	see
71,263,71,243,159,243,159,263	Register
274,261,274,242,358,243,358,263	account
433,264,434,240,484,244,483,267	why
362,261,362,241,387,241,387,261	to
219,262,220,239,272,242,271,265	BBC
163,263,163,240,199,240,199,263	for
129,216,210,215,210,235,130,236	source.
69,233,69,216,127,216,127,233	news
236,200,236,183,294,184,294,201	more
130,183,206,181,206,204,131,205	people
298,183,366,181,367,200,299,202	places
209,183,232,182,233,200,210,201	in
68,202,69,180,127,181,127,203	More
546,200,547,180,599,183,598,202	than
372,198,372,181,426,182,425,199	trust
482,199,482,181,543,181,543,199	News
430,199,431,179,479,181,478,201	BBC
156,116,223,115,223,130,156,130	amount
271,116,357,114,357,132,271,133	protected.
47,115,116,112,117,128,47,130	increase
227,134,227,113,267,113,267,134	they
121,131,121,111,154,111,154,131	the
528,105,528,91,598,92,598,106	governm
322,105,322,87,365,87,365,105	work
445,103,445,87,522,87,522,103	devolved
45,87,118,86,118,107,45,108	England
281,104,281,86,318,86,318,104	also
224,87,279,86,279,103,225,105	would
198,104,198,87,221,87,221,104	he
410,104,410,86,441,86,441,104	the
368,86,406,84,407,103,368,105	<with
158,105,158,85,196,85,196,105	said
121,106,121,85,157,85,157,106	and
295,77,295,62,367,63,367,77	Johnson
169,78,169,62,239,62,239,78	minister
459,65,569,63,569,76,460,77	commitment
370,63,420,62,420,77,370,78	made
114,63,165,61,166,78,115,80	prime
46,62,111,62,111,79,46,79	Former
574,78,575,59,600,61,600,80	wit
422,61,455,60,455,78,423,79	the
244,78,244,60,290,60,290,78	Boris
146,31,146,18,222,19,221,32	Montreal
121,31,123,19,140,21,138,33	in
48,31,48,19,109,19,109,31	COP15
250,32,250,18,338,19,338,33	December
386,1,461,0,461,6,386,7	interfili
502,8,502,0,596,0,596,8	diouivets
315,11,315,0,385,0,384,12	and
231,0,292,0,293,12,231,13	ayes
181,0,229,0,229,9,181,10	LOVE
46,0,149,0,149,8,46,8	flamewotk
295,8,296,0,317,0,317,9	all
151,8,151,0,181,0,180,8	sel
