336,600,337,588,368,591,367,600	sam-
191,439,191,427,215,427,215,439	lon-n
150,440,150,425,190,425,190,440	regard
268,441,268,425,319,425,319,441	dsamples
211,438,211,425,267,425,267,438	-manifold
73,439,73,425,99,425,99,439	thats
40,426,72,425,73,439,41,440	yclear
359,416,359,414,361,414,361,416	I
356,417,356,412,359,412,359,417	I
124,408,165,407,165,421,124,422	shows
343,410,366,409,366,420,343,420	Itis
254,420,254,408,331,408,331,420	Naturalness.
190,422,190,406,232,406,232,422	results
43,422,43,406,79,406,79,422	Next
11,422,11,407,39,407,39,422	tics.
234,407,251,406,252,422,234,422	soft
82,406,109,405,110,424,82,425	Fig.
165,422,165,405,190,405,190,422	the
104,399,104,397,107,397,107,399	-
106,397,110,397,110,400,106,400	-
322,393,363,391,363,402,323,403	seman
187,404,187,390,232,390,232,404	change
277,402,277,389,320,390,320,403	motion
101,397,112,391,116,398,106,404	to
27,402,27,390,60,390,60,402	more
117,402,117,389,145,389,145,402	lead
61,404,62,388,97,389,97,405	likely
164,403,164,388,185,388,185,403	the
147,403,147,389,162,389,162,403	to
251,404,251,388,274,388,274,404	fthen
233,404,234,387,251,388,250,405	coft
255,373,335,371,335,384,255,386	perturbations,
13,387,13,373,73,373,73,387	prediction
341,372,369,371,369,385,341,385	thus
214,386,214,371,252,371,252,386	larger
163,372,212,371,212,386,163,387	requires
77,373,125,372,126,384,78,385	because
128,385,128,370,160,370,160,385	SGN
346,366,346,356,369,356,369,366	our
129,367,129,353,204,354,203,368	respectively.
254,366,254,355,313,355,313,366	consistent
317,354,344,353,345,366,317,367	with
208,353,238,352,238,367,208,368	This
96,367,96,352,128,352,128,367	SGN
71,353,94,352,94,366,71,366	and
12,353,70,351,70,367,12,368	MS-G3D:
239,367,239,353,251,353,251,367	is
243,348,243,335,291,335,291,349	67.47%
291,349,291,336,311,336,311,349	on
315,348,315,335,366,335,366,348	STGCN
188,349,188,334,238,335,238,351	83.33%
129,350,129,334,178,334,178,350	88.13%
98,349,98,334,127,334,127,349	with
12,335,43,334,44,348,12,349	three
46,349,47,333,94,335,93,351	models,
329,331,329,320,368,320,368,331	across
88,331,88,319,135,319,135,331	success
39,333,39,319,87,319,87,333	average
135,331,135,319,161,319,161,331	rate
180,319,261,318,261,327,180,328	Deceitfulness
296,331,296,317,327,317,327,331	9.64%
162,331,162,318,178,318,178,331	Coff
267,318,277,318,277,330,267,330	is
278,331,278,316,298,316,298,332	s79.6
11,317,37,315,38,331,12,333	The
57,303,57,289,105,289,105,303	Results
11,303,11,289,45,289,44,304	4.6.1
89,251,135,251,136,262,89,263	seconds
12,251,53,249,53,264,13,265	played
139,249,175,249,176,262,139,263	twice
55,249,74,249,75,262,55,263	for
80,234,103,233,104,247,80,248	see
54,245,54,234,79,234,79,245	can
347,245,347,233,369,234,369,246	are
105,249,105,233,130,233,130,249	any
296,233,344,232,344,244,296,245	motions
174,244,174,232,234,232,234,244	difference
132,232,170,232,170,245,133,245	visual
12,233,51,232,52,245,13,246	helshe
238,245,238,231,268,231,268,245	after
270,231,292,231,292,245,270,245	the
235,227,235,216,261,216,261,227	user
58,228,58,216,74,216,73,229	NOR
12,227,12,215,56,216,55,228	motion
319,215,368,214,368,227,319,227	whether
265,226,265,216,276,216,276,226	is
99,215,151,214,151,227,99,227	attacked
280,214,316,213,316,227,280,228	asked
154,226,154,212,201,214,200,227	Imotion.
75,214,97,213,98,227,75,229	the
205,213,233,211,234,228,206,230	The
249,197,273,197,274,210,249,211	can
223,210,223,197,249,197,249,210	one
61,209,61,198,89,198,89,210	user
320,210,320,196,367,196,367,210	original
133,211,134,196,157,197,157,212	1so.
190,211,190,196,221,196,221,211	right
107,210,107,195,134,195,134,210	told
295,210,295,195,317,195,317,210	the
93,207,94,197,103,198,102,208	is
12,209,12,195,36,195,36,209	and
276,210,276,195,293,195,293,210	be
161,211,161,194,189,194,189,211	The
38,210,38,194,59,194,59,210	the
238,184,247,183,248,189,238,190	1S
191,190,191,179,234,180,233,191	motion
319,191,319,179,367,179,367,192	original
251,193,251,177,295,177,295,193	always
11,178,55,176,55,193,12,195	played
295,178,318,177,318,192,296,192	the
103,193,103,177,134,177,134,193	side.
83,194,83,178,100,178,100,194	by
136,191,136,176,164,176,164,192	The
55,191,56,176,82,178,81,193	side
165,192,165,176,190,176,190,192	left
164,169,164,167,166,167,166,169	I
162,169,162,167,164,167,164,169	I
162,168,162,165,166,165,166,168	In
319,173,319,161,341,161,341,173	sare
239,174,239,160,265,160,265,174	two
16,173,16,162,148,162,148,173	(Indistinguishability).
269,161,317,160,318,172,270,173	motions
175,160,204,160,204,172,175,172	each
343,174,343,160,367,160,367,174	dis-
207,174,207,159,237,159,237,174	trial
159,172,159,161,172,161,172,172	In
166,144,193,144,193,156,166,156	can
318,143,367,142,367,157,318,157	scrutiny
193,143,240,141,240,155,194,157	survive
116,155,116,141,167,141,167,155	BASAR
30,142,81,141,81,156,30,157	samples
240,156,241,140,287,142,287,157	side-by-
82,141,114,141,114,155,82,156	from
288,142,317,141,318,156,288,157	y-side
11,156,11,140,29,140,29,156	ial
311,137,311,125,364,125,364,137	adversar-
207,127,229,125,230,138,208,140	sce
35,137,35,126,83,126,83,137	conduct
12,138,12,126,32,126,32,138	we
233,138,233,124,283,124,283,138	whether
193,136,193,127,203,127,203,136	to
163,139,163,124,188,125,188,140	test
112,125,160,125,160,137,112,138	strictest
286,124,308,123,309,138,287,139	the
86,124,109,122,111,138,88,140	the
10,109,28,108,28,121,10,121	or
29,110,70,108,71,119,29,121	cannot
223,120,223,108,240,108,240,120	no
122,120,122,108,186,108,186,120	difference
319,120,320,105,366,107,365,122	Finally
243,120,243,106,272,106,272,120	time
191,120,191,106,219,106,219,120	with
273,120,274,105,314,105,313,121	limits
98,106,120,105,120,120,98,121	the
73,106,96,105,96,119,74,120	tell
286,101,286,91,318,91,318,101	more
221,90,245,89,246,102,222,103	one
65,90,92,90,93,102,65,103	user
321,91,367,89,367,102,321,104	natural
12,102,12,89,40,89,40,102	then
247,102,247,89,282,89,282,102	looks
182,101,182,88,218,88,218,101	which
96,102,96,88,130,88,130,102	needs
150,105,150,87,178,87,178,105	pick
134,90,146,89,148,101,135,102	to
41,89,63,87,64,102,42,104	the
41,82,41,73,89,73,89,83	motions
278,72,326,71,326,84,278,84	seconds
329,85,329,71,367,71,367,85	twice
162,85,162,72,210,72,210,85	side-by-
92,84,92,72,115,72,115,84	are
208,85,208,70,238,70,238,85	y-side
118,85,118,70,160,70,160,85	played
11,72,37,70,37,84,12,86	two
240,84,240,71,261,71,261,84	for
12,47,54,46,54,61,12,61	models.
12,34,72,33,72,45,12,47	percentage
89,43,89,31,114,32,114,44	fuser
322,43,323,31,368,32,368,44	attacked
117,33,174,31,174,43,117,44	preference.
205,43,205,31,260,32,260,43	horizontal
301,43,301,31,320,31,320,43	the
289,42,289,32,299,32,299,42	is
263,43,263,30,287,30,287,43	laxis
73,43,73,31,89,31,89,43	of
179,43,179,30,204,30,204,43	The
45,27,45,16,58,16,58,27	to
312,27,312,15,336,15,336,27	laxis
270,15,310,15,310,26,270,26	vertical
185,17,240,15,240,26,185,28	projection.
132,26,133,15,181,16,181,27	temanifold
61,16,129,15,129,26,61,27	with/without
12,28,12,15,45,15,45,28	refers
349,27,349,15,369,15,369,27	the
337,27,337,15,349,15,349,27	;is
244,14,268,13,268,27,245,28	The
155,13,155,1,217,1,217,13	preferences
128,12,128,1,153,1,153,12	juserj
64,10,64,0,127,0,127,10	Normalized
305,10,305,0,346,0,346,11	mp/No
234,10,234,0,301,0,301,11	Naturalness.
217,0,233,0,233,11,217,11	SON
11,0,49,0,50,12,12,13	figure
346,11,346,0,369,0,369,11	DMP
